Time,Open,High,Low,Last
3/26/21 11:20,391.05,391.15,390.58,390.63
3/26/21 11:25,390.65,391.01,390.58,390.99
3/26/21 11:30,390.99,391.32,390.74,391.24
3/26/21 11:35,391.23,391.60,391.22,391.56
3/26/21 11:40,391.56,391.76,391.45,391.72
3/26/21 11:45,391.73,391.93,391.62,391.76
3/26/21 11:50,391.75,391.83,391.62,391.65
3/26/21 11:55,391.66,391.92,391.64,391.87
3/26/21 12:00,391.88,392.06,391.61,391.71
3/26/21 12:05,391.71,391.83,391.52,391.75
3/26/21 12:10,391.76,392.01,391.69,392.00
3/26/21 12:15,392.01,392.14,391.71,391.95
3/26/21 12:20,391.96,392.00,391.81,391.93
3/26/21 12:25,391.93,392.19,391.93,392.14
3/26/21 12:30,392.15,392.46,392.05,392.44
3/26/21 12:35,392.45,392.60,392.37,392.58
3/26/21 12:40,392.59,392.82,392.52,392.78
3/26/21 12:45,392.76,392.92,392.59,392.91
3/26/21 12:50,392.92,392.94,392.80,392.86
3/26/21 12:55,392.87,392.91,392.44,392.48
3/26/21 13:00,392.49,392.68,392.48,392.62
3/26/21 13:05,392.63,392.99,392.55,392.90
3/26/21 13:10,392.54,392.95,392.54,392.74
3/26/21 13:15,392.75,392.84,392.65,392.73
3/26/21 13:20,392.73,392.96,392.56,392.83
3/26/21 13:25,392.83,392.88,392.69,392.81
3/26/21 13:30,392.81,392.92,392.53,392.55
3/26/21 13:35,392.55,392.57,392.14,392.17
3/26/21 13:40,392.16,392.21,391.91,391.93
3/26/21 13:45,391.93,392.00,391.39,391.43
3/26/21 13:50,391.43,391.88,391.36,391.86
3/26/21 13:55,391.86,391.99,391.66,391.98
3/26/21 14:00,391.97,392.12,391.61,391.67
3/26/21 14:05,391.68,391.82,391.08,391.11
3/26/21 14:10,391.11,391.20,390.62,390.80
3/26/21 14:15,390.81,390.85,390.33,390.72
3/26/21 14:20,390.73,391.30,390.60,391.24
3/26/21 14:25,391.24,391.56,391.19,391.53
3/26/21 14:30,391.53,391.66,391.15,391.62
3/26/21 14:35,391.62,391.79,391.28,391.50
3/26/21 14:40,391.50,391.65,391.10,391.32
